block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.440552,1957393,0.455159,0.260840,0.014052,0.000000,0.000000,0.166214,17351808,
15,cube0,1111.022217,1999840,0.047928,0.047928,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1110.426147,1998767,0.466033,0.267072,0.014387,0.000000,0.000000,0.170185,17351808,
16,cube0,17.200001,30960,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.990556,28783,0.000024,0.000000,0.000000,0.000000,0.000000,0.000024,128,
17,cube0,18.192778,32747,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.877778,23180,0.000019,0.000000,0.000000,0.000000,0.000000,0.000019,128,
18,cube0,19.796112,35633,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.120556,25417,0.000020,0.000000,0.000000,0.000000,0.000000,0.000020,128,
19,cube0,21.251667,38253,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.887222,30397,0.000021,0.000000,0.000000,0.000000,0.000000,0.000021,128,
20,cube0,20.802778,37445,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.105556,28990,0.000023,0.000000,0.000000,0.000000,0.000000,0.000023,128,
21,cube0,18.342777,33017,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.250000,27450,0.000023,0.000000,0.000000,0.000000,0.000000,0.000023,128,
22,cube0,19.507223,35113,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.386666,24096,0.000018,0.000000,0.000000,0.000000,0.000000,0.000018,128,
23,cube0,20.653889,37177,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.423333,27762,0.000018,0.000000,0.000000,0.000000,0.000000,0.000018,128,
