name,duration_us,precision,status,config
tile1024,91.30365,PASS,pass,{'tileSize': 1024}
tile3072,59.942398,PASS,pass,{'tileSize': 3072}
tile5120,56.502258,PASS,pass,{'tileSize': 5120}
tile7168,54.362175,PASS,pass,{'tileSize': 7168}
tile9216,53.742149,PASS,pass,{'tileSize': 9216}
step1_2,56.822273,PASS,pass,"{'stepM': 1, 'stepN': 2}"
step1_3,55.042202,PASS,pass,"{'stepM': 1, 'stepN': 3}"
step1_4,54.282173,PASS,pass,"{'stepM': 1, 'stepN': 4}"
step2_1,52.802113,PASS,pass,"{'stepM': 2, 'stepN': 1}"
step2_2,54.122166,PASS,pass,"{'stepM': 2, 'stepN': 2}"
step2_3,56.702267,PASS,pass,"{'stepM': 2, 'stepN': 3}"
step3_1,57.5023,PASS,pass,"{'stepM': 3, 'stepN': 1}"
step3_3,58.482338,PASS,pass,"{'stepM': 3, 'stepN': 3}"
bM64_bN128,83.883354,PASS,pass,"{'baseM': 64, 'baseN': 128}"
bM128_bN64,82.223289,PASS,pass,"{'baseM': 128, 'baseN': 64}"
bM192_bN128,60.802433,PASS,pass,"{'baseM': 192, 'baseN': 128}"
bM256_bN160,,FAIL,"[ 50%] Building ASC object CMakeFiles/demo.dir/matmul_leakyrelu.asc.o
[100%] Linking ASC executable demo
[100%] Built target demo
gen tiling failed
2026-04-09 23:25:05 [INFO]  Op profiling analysis start.
2026-04-09 23:25:05 [INFO]  Running device task: DeviceProf
[INFO] <ProfData> Start profiling on device 0, kernel: _Z23matmul_leakyrelu_customPhS_S_S_S_N7AscendC6tiling11TCubeTilingE_mix_aic
[INFO] <WarmUp> Warm Up enabled. times:10
core3,43.381737,FAIL,prec_fail,{'usedCoreNum': 3}
core4,103.444138,FAIL,prec_fail,{'usedCoreNum': 4}
core6,73.462936,FAIL,prec_fail,{'usedCoreNum': 6}
core8,60.502419,FAIL,prec_fail,{'usedCoreNum': 8}
FIRSTM_base,81.843277,PASS,pass,{'traverse': 'FIRSTM'}
FIRSTM_stepM2,80.963242,PASS,pass,"{'traverse': 'FIRSTM', 'stepM': 2}"
FIRSTM_tile10240,81.58326,PASS,pass,"{'traverse': 'FIRSTM', 'tileSize': 10240}"
FIRSTM_transB,80.843231,PASS,pass,"{'traverse': 'FIRSTM', 'isTransB': True}"
FIRSTM_bM128_bN256,,FAIL,"[ 50%] Building ASC object CMakeFiles/demo.dir/matmul_leakyrelu.asc.o
[100%] Linking ASC executable demo
[100%] Built target demo
2026-04-09 23:39:32 [INFO]  Op profiling analysis start.
2026-04-09 23:39:32 [INFO]  Running device task: DeviceProf
[INFO] <ProfData> Start profiling on device 0, kernel: _Z23matmul_leakyrelu_customPhS_S_S_S_N7AscendC6tiling11TCubeTilingE_mix_aic
[INFO] <WarmUp> Warm Up enabled. times:10
","{'traverse': 'FIRSTM', 'baseM': 128, 'baseN': 256}"
tile512,151.18605,PASS,pass,{'tileSize': 512}
tile256,249.789993,PASS,pass,{'tileSize': 256}
tile15360,0.0,FAIL,prec_fail,{'tileSize': 15360}
bM256_bN32,119.604782,PASS,pass,"{'baseM': 256, 'baseN': 32}"
bM128_bN160,111.604462,PASS,pass,"{'baseM': 128, 'baseN': 160}"
bM64_bN256,93.423737,PASS,pass,"{'baseM': 64, 'baseN': 256}"
bM256_bN96,104.824196,PASS,pass,"{'baseM': 256, 'baseN': 96}"
bM192_bN64,102.964119,PASS,pass,"{'baseM': 192, 'baseN': 64}"
transB_bM128_bN128,77.763107,PASS,pass,"{'isTransB': True, 'baseM': 128, 'baseN': 128}"
transB_bM256_bN64,84.323372,PASS,pass,"{'isTransB': True, 'baseM': 256, 'baseN': 64}"
transB_stepM2_bM128_bN128,79.563179,PASS,pass,"{'isTransB': True, 'stepM': 2, 'baseM': 128, 'baseN': 128}"
transB_tile6144_stepM2,75.903038,PASS,pass,"{'isTransB': True, 'tileSize': 6144, 'stepM': 2}"
transB_bM128_bN256,78.403137,PASS,pass,"{'isTransB': True, 'baseM': 128, 'baseN': 256}"
step1_1_tile10240,76.963081,PASS,pass,"{'stepM': 1, 'stepN': 1, 'tileSize': 10240}"
step1_1_tile12288,75.183006,PASS,pass,"{'stepM': 1, 'stepN': 1, 'tileSize': 12288}"
step1_1_transB,77.143089,PASS,pass,"{'stepM': 1, 'stepN': 1, 'isTransB': True}"
step1_1_bM128_bN256,83.363335,PASS,pass,"{'stepM': 1, 'stepN': 1, 'baseM': 128, 'baseN': 256}"
step1_1_bM192_bN128,83.34333,PASS,pass,"{'stepM': 1, 'stepN': 1, 'baseM': 192, 'baseN': 128}"
combo_bM192_bN128_stepM2,79.583183,PASS,pass,"{'baseM': 192, 'baseN': 128, 'stepM': 2}"
combo_bM192_bN128_tile10240,79.523178,PASS,pass,"{'baseM': 192, 'baseN': 128, 'tileSize': 10240}"
combo_bM64_bN128_tile10240,103.024124,PASS,pass,"{'baseM': 64, 'baseN': 128, 'tileSize': 10240}"
combo_bM384_bN128_stepM2,,FAIL,"[ 50%] Building ASC object CMakeFiles/demo.dir/matmul_leakyrelu.asc.o
[100%] Linking ASC executable demo
[100%] Built target demo
gen tiling failed
2026-04-09 23:47:28 [INFO]  Op profiling analysis start.
2026-04-09 23:47:28 [INFO]  Running device task: DeviceProf
[INFO] <ProfData> Start profiling on device 0, kernel: _Z23matmul_leakyrelu_customPhS_S_S_S_N7AscendC6tiling11TCubeTilingE_mix_aic
[INFO] <WarmUp> Warm Up enabled. times:10
data index: 000000, expected: 6444.000000000, actual: 6113.000000000, rdiff: 0.051366
data index: 000001, expected: 6618.000000000, actual: 6500.000000000, rdiff: 0.017830
data index: 000002, expected: 6548.000000000, actual: 6124.000000000, rdiff: 0.064753
data index: 000003, expected: 6847.000000000, actual: 6282.000000000, rdiff: 0.082518
data index: 000004, expected: 6263.000000000, actual: 6200.000000000, rdiff: 0.010059
data index: 000005, expected: 6478.000000000, actual: 6319.000000000, rdiff: 0.024545
data index: 000006, expected: 6795.000000000, actual: 6329.000000000, rdiff: 0.068580
data index: 000007, expected: 6583.000000000, actual: 6248.000000000, rdiff: 0.050889
data index: 000008, expected: 6258.000000000, actual: 6649.000000000, rdiff: 0.062480
data index: 000009, expected: 6091.000000000, actual: 6338.000000000, rdiff: 0.040552
data index: 000010, expected: 6740.000000000, actual: 6314.000000000, rdiff: 0.063205
data index: 000011, expected: 6287.000000000, actual: 6509.000000000, rdiff: 0.035311
data index: 000012, expected: 6573.000000000, actual: 6624.000000000, rdiff: 0.007759
data index: 000013, expected: 6465.000000000, actual: 6845.000000000, rdiff: 0.058778
data index: 000014, expected: 6631.000000000, actual: 6092.000000000, rdiff: 0.081285
data index: 000015, expected: 6692.000000000, actual: 6574.000000000, rdiff: 0.017633
data index: 000016, expected: 6208.000000000, actual: 6676.000000000, rdiff: 0.075387
data index: 000017, expected: 7003.000000000, actual: 6268.000000000, rdiff: 0.104955
data index: 000018, expected: 6828.000000000, actual: 6366.000000000, rdiff: 0.067663
data index: 000019, expected: 6657.000000000, actual: 6368.000000000, rdiff: 0.043413
data index: 000020, expected: 6471.000000000, actual: 6584.000000000, rdiff: 0.017463
data index: 000021, expected: 6570.000000000, actual: 6499.000000000, rdiff: 0.010807
data index: 000022, expected: 6722.000000000, actual: 6620.000000000, rdiff: 0.015174
data index: 000023, expected: 6402.000000000, actual: 6259.000000000, rdiff: 0.022337
data index: 000024, expected: 6513.000000000, actual: 6790.000000000, rdiff: 0.042530
data index: 000025, expected: 6478.000000000, actual: 6310.000000000, rdiff: 0.025934
data index: 000026, expected: 6173.000000000, actual: 6425.000000000, rdiff: 0.040823
data index: 000027, expected: 6857.000000000, actual: 6523.000000000, rdiff: 0.048709
data index: 000028, expected: 6307.000000000, actual: 6366.000000000, rdiff: 0.009355
data index: 000029, expected: 6198.000000000, actual: 6362.000000000, rdiff: 0.026460
data index: 000030, expected: 6629.000000000, actual: 6444.000000000, rdiff: 0.027908
data index: 000031, expected: 6212.000000000, actual: 6502.000000000, rdiff: 0.046684
data index: 000032, expected: 6210.000000000, actual: 5906.000000000, rdiff: 0.048953
data index: 000033, expected: 6462.000000000, actual: 6216.000000000, rdiff: 0.038069
data index: 000034, expected: 6647.000000000, actual: 6365.000000000, rdiff: 0.042425
data index: 000035, expected: 6435.000000000, actual: 6387.000000000, rdiff: 0.007459
data index: 000036, expected: 6565.000000000, actual: 6540.000000000, rdiff: 0.003808
data index: 000037, expected: 6351.000000000, actual: 6717.000000000, rdiff: 0.057629
data index: 000038, expected: 6682.000000000, actual: 6923.000000000, rdiff: 0.036067
data index: 000039, expected: 6670.000000000, actual: 6290.000000000, rdiff: 0.056972
data index: 000040, expected: 6658.000000000, actual: 6567.000000000, rdiff: 0.013668
data index: 000041, expected: 6211.000000000, actual: 6857.000000000, rdiff: 0.104009
data index: 000042, expected: 6737.000000000, actual: 6278.000000000, rdiff: 0.068131
data index: 000043, expected: 6485.000000000, actual: 6171.000000000, rdiff: 0.048419
data index: 000044, expected: 6956.000000000, actual: 6666.000000000, rdiff: 0.041691
data index: 000045, expected: 6180.000000000, actual: 5930.000000000, rdiff: 0.040453
data index: 000046, expected: 6132.000000000, actual: 6251.000000000, rdiff: 0.019406
data index: 000047, expected: 6560.000000000, actual: 6257.000000000, rdiff: 0.046189
data index: 000048, expected: 6583.000000000, actual: 6270.000000000, rdiff: 0.047547
data index: 000049, expected: 6290.000000000, actual: 6039.000000000, rdiff: 0.039905
data index: 000050, expected: 6721.000000000, actual: 6432.000000000, rdiff: 0.043000
data index: 000051, expected: 6209.000000000, actual: 6529.000000000, rdiff: 0.051538
data index: 000052, expected: 6492.000000000, actual: 6239.000000000, rdiff: 0.038971
data index: 000053, expected: 6703.000000000, actual: 6137.000000000, rdiff: 0.084440
data index: 000054, expected: 6489.000000000, actual: 6464.000000000, rdiff: 0.003853
data index: 000055, expected: 6650.000000000, actual: 6094.000000000, rdiff: 0.083609
data index: 000056, expected: 6118.000000000, actual: 6286.000000000, rdiff: 0.027460
data index: 000057, expected: 6483.000000000, actual: 6139.000000000, rdiff: 0.053062
data index: 000058, expected: 6220.000000000, actual: 6579.000000000, rdiff: 0.057717
data index: 000059, expected: 6143.000000000, actual: 6842.000000000, rdiff: 0.113788
data index: 000060, expected: 6639.000000000, actual: 6433.000000000, rdiff: 0.031029
data index: 000061, expected: 6192.000000000, actual: 6640.000000000, rdiff: 0.072351
data index: 000062, expected: 6541.000000000, actual: 6257.000000000, rdiff: 0.043418
data index: 000063, expected: 6350.000000000, actual: 6459.000000000, rdiff: 0.017165
data index: 000064, expected: 6518.000000000, actual: 6355.000000000, rdiff: 0.025008
data index: 000065, expected: 6104.000000000, actual: 6387.000000000, rdiff: 0.046363
data index: 000066, expected: 6637.000000000, actual: 6348.000000000, rdiff: 0.043544
data index: 000067, expected: 6308.000000000, actual: 6442.000000000, rdiff: 0.021243
data index: 000068, expected: 6537.000000000, actual: 6680.000000000, rdiff: 0.021875
data index: 000069, expected: 6411.000000000, actual: 5916.000000000, rdiff: 0.077211
data index: 000070, expected: 6562.000000000, actual: 6091.000000000, rdiff: 0.071777
data index: 000071, expected: 6315.000000000, actual: 6326.000000000, rdiff: 0.001742
data index: 000072, expected: 6628.000000000, actual: 6557.000000000, rdiff: 0.010712
data index: 000073, expected: 6490.000000000, actual: 6318.000000000, rdiff: 0.026502
data index: 000074, expected: 6974.000000000, actual: 6522.000000000, rdiff: 0.064812
data index: 000075, expected: 7162.000000000, actual: 6452.000000000, rdiff: 0.099134
data index: 000076, expected: 6431.000000000, actual: 6696.000000000, rdiff: 0.041207
data index: 000077, expected: 6503.000000000, actual: 6227.000000000, rdiff: 0.042442
data index: 000078, expected: 6733.000000000, actual: 6584.000000000, rdiff: 0.022130
data index: 000079, expected: 6470.000000000, actual: 6687.000000000, rdiff: 0.033539
data index: 000080, expected: 6609.000000000, actual: 6071.000000000, rdiff: 0.081404
data index: 000081, expected: 6435.000000000, actual: 6741.000000000, rdiff: 0.047552
data index: 000082, expected: 6430.000000000, actual: 6467.000000000, rdiff: 0.005754
data index: 000083, expected: 6813.000000000, actual: 6119.000000000, rdiff: 0.101864
data index: 000084, expected: 6737.000000000, actual: 6309.000000000, rdiff: 0.063530
data index: 000085, expected: 6850.000000000, actual: 6569.000000000, rdiff: 0.041022
data index: 000086, expected: 6783.000000000, actual: 6491.000000000, rdiff: 0.043049
data index: 000087, expected: 6357.000000000, actual: 6561.000000000, rdiff: 0.032091
data index: 000088, expected: 6505.000000000, actual: 6177.000000000, rdiff: 0.050423
data index: 000089, expected: 6035.000000000, actual: 6759.000000000, rdiff: 0.119967
data index: 000090, expected: 6293.000000000, actual: 6123.000000000, rdiff: 0.027014
data index: 000091, expected: 6795.000000000, actual: 6603.000000000, rdiff: 0.028256
data index: 000092, expected: 6430.000000000, actual: 6379.000000000, rdiff: 0.007932
data index: 000093, expected: 6598.000000000, actual: 6142.000000000, rdiff: 0.069112
data index: 000094, expected: 6173.000000000, actual: 6422.000000000, rdiff: 0.040337
data index: 000095, expected: 6406.000000000, actual: 6094.000000000, rdiff: 0.048704
data index: 000096, expected: 6223.000000000, actual: 6273.000000000, rdiff: 0.008035
data index: 000097, expected: 6499.000000000, actual: 6508.000000000, rdiff: 0.001385
data index: 000098, expected: 6411.000000000, actual: 6623.000000000, rdiff: 0.033068
data index: 000099, expected: 6721.000000000, actual: 6628.000000000, rdiff: 0.013837
data index: 000100, expected: 6365.000000000, actual: 6359.000000000, rdiff: 0.000943
golden_data :  [6444. 6618. 6548. ... 6687. 6469. 6743.]
output :  [6113. 6500. 6124. ... 6039. 6338. 6867.]
error ratio: 0.9991, tolerance: 0.0001
[ERROR] result error
","{'baseM': 384, 'baseN': 128, 'stepM': 2}"
combo_bM256_bN128_buf786K,75.042999,PASS,pass,"{'bufferSpace': '786432, -1, -1'}"
combo_stepM2_buf786K,74.962997,PASS,pass,"{'stepM': 2, 'bufferSpace': '786432, -1, -1'}"
combo_stepM2_stepN3,75.203011,PASS,pass,"{'stepM': 2, 'stepN': 3}"
combo_tile10240_stepM2_transB,75.803032,PASS,pass,"{'tileSize': 10240, 'stepM': 2, 'isTransB': True}"
combo_tile5120_stepM2,76.023041,PASS,pass,"{'tileSize': 5120, 'stepM': 2}"
combo_tile3072_stepM2,82.903313,PASS,pass,"{'tileSize': 3072, 'stepM': 2}"
step4_1,78.823151,PASS,pass,"{'stepM': 4, 'stepN': 1}"
step1_5,77.96312,PASS,pass,"{'stepM': 1, 'stepN': 5}"
